# 4700 Reflector July 2008, peptide YEVQGEVFTKPQLWP
mz	intensity
1845.622300	373.856
1845.646567	339.706
1845.670833	318.301
1845.695100	322.712
1845.719367	316.667
1845.743634	289.052
1845.767901	344.118
1845.792169	383.824
1845.816436	383.007
1845.840704	310.294
1845.864972	289.706
1845.889240	298.366
1845.913508	335.131
1845.937776	380.556
1845.962044	450.327
1845.986313	484.15
1846.010582	435.784
1846.034851	380.392
1846.059120	389.543
1846.083389	426.471
1846.107659	393.464
1846.131928	370.915
1846.156198	399.837
1846.180468	426.471
1846.204738	364.379
1846.229008	268.137
1846.253278	256.699
1846.277549	294.771
1846.301820	348.693
1846.326091	351.634
1846.350362	341.83
1846.374633	316.503
1846.398904	307.353
1846.423176	287.418
1846.447447	305.392
1846.471719	283.497
1846.495991	245.261
1846.520263	236.111
1846.544535	293.137
1846.568808	327.778
1846.593081	327.941
1846.617353	338.889
1846.641626	297.549
1846.665899	261.928
1846.690173	249.02
1846.714446	266.667
1846.738720	279.248
1846.762993	300.654
1846.787267	330.065
1846.811541	357.516
1846.835815	383.007
1846.860090	417.647
1846.884364	364.869
1846.908639	300.98
1846.932914	323.203
1846.957189	366.993
1846.981464	346.895
1847.005739	321.078
1847.030015	334.314
1847.054291	386.275
1847.078566	363.399
1847.102842	293.137
1847.127118	338.562
1847.151395	445.261
1847.175671	501.471
1847.199948	417.81
1847.224224	365.196
1847.248501	354.412
1847.272778	308.66
1847.297056	295.098
1847.321333	342.81
1847.345611	361.601
1847.369888	323.203
1847.394166	236.928
1847.418444	194.935
1847.442723	227.124
1847.467001	292.32
1847.491279	321.569
1847.515558	320.261
1847.539837	290.196
1847.564116	243.627
1847.588395	240.523
1847.612674	263.725
1847.636954	267.81
1847.661233	254.085
1847.685513	278.922
1847.709793	332.19
1847.734073	348.856
1847.758354	309.15
1847.782634	278.758
1847.806915	295.261
1847.831195	329.412
1847.855476	366.013
1847.879757	440.196
1847.904039	470.098
1847.928320	443.954
1847.952602	362.092
1847.976883	281.536
1848.001165	260.458
1848.025447	277.614
1848.049729	313.072
1848.074012	323.529
1848.098294	274.183
1848.122577	249.02
1848.146860	224.346
1848.171143	263.889
1848.195426	281.209
1848.219709	262.418
1848.243992	230.392
1848.268276	224.837
1848.292560	253.268
1848.316844	346.732
1848.341128	375
1848.365412	335.621
1848.389697	327.614
1848.413981	315.523
1848.438266	341.503
1848.462551	383.007
1848.486836	386.438
1848.511121	357.68
1848.535406	344.935
1848.559692	358.007
1848.583978	406.863
1848.608264	437.909
1848.632550	355.556
1848.656836	274.837
1848.681122	292.32
1848.705409	343.464
1848.729695	322.386
1848.753982	270.425
1848.778269	252.451
1848.802556	244.118
1848.826843	261.765
1848.851131	303.268
1848.875418	288.562
1848.899706	255.392
1848.923994	262.092
1848.948282	292.484
1848.972571	288.562
1848.996859	284.641
1849.021147	305.882
1849.045436	348.693
1849.069725	400.327
1849.094014	379.085
1849.118303	329.902
1849.142593	275.163
1849.166882	272.712
1849.191172	333.007
1849.215462	341.993
1849.239752	304.902
1849.264042	292.484
1849.288332	311.928
1849.312623	316.83
1849.336913	299.673
1849.361204	247.222
1849.385495	217.484
1849.409786	190.85
1849.434078	208.333
1849.458369	227.451
1849.482661	240.523
1849.506952	231.699
1849.531244	249.51
1849.555536	325.98
1849.579829	328.595
1849.604121	255.882
1849.628413	242.484
1849.652706	262.092
1849.676999	229.412
1849.701292	163.889
1849.725585	170.098
1849.749879	260.621
1849.774172	302.614
1849.798466	299.837
1849.822760	362.418
1849.847054	480.882
1849.871348	540.359
1849.895642	486.601
1849.919937	390.359
1849.944231	372.712
1849.968526	378.268
1849.992821	293.301
